PMID	Year	processed_title
39449018	2024	nation school food standard england cross section studi explor complianc secondari school impact pupil nutrit intak
39449339	2024	potenti mechan covid relat nervou system damag effect femal fertil
39450181	2024	preval covid anti tpo posit euthyroid individu strongli elev sar cov specif cell respons moder rais anti spike igg level month post infect
39450880	2024	function disabl advers covid covid histori employ statu behavior risk factor surveil system
39451477	2024	preval risk factor impact covid adult south korea
39451987	2024	reactiv astrocytosi potenti contributor increas suicid covid patient
39454250	2024	dissect associ covid depress symptom nation repres popul franc
39454992	2024	gastrointestin pathophysiologi covid explor role microbiota dysbiosi serotonin dysregul post infecti bowel symptom
39455248	2024	support evid pulmonari rehabilit treatment covid
39455598	2024	live copd psycholog effect particip commun base physic activ brazil qualit studi find breath
39456253	2024	ambival post covid vaccin respons human
39456822	2024	anti inflammatori neuroprotect polyphenol deriv european oliv tree olea europaea covid condit involv cognit impair
39457266	2024	sex base differ pulmonari function cardiopulmonari respons month post covid brazilian multicentr studi
39457356	2024	musculoskelet pulmonari cardiovascular covid sequela context firefight occup health narr review
39457358	2024	onlin mat pilat train covid patient random control trial health outcom
39457567	2024	slow pace breath intervent healthcar worker affect covid effect system dysfunct breath symptom manual dexter hrv
39458187	2024	effect combin pulmonari rehabilit progress muscl relax treat term covid symptom random control trial
39459041	2024	inhibitori effect luteolin spike s1 glycoprotein induc inflamm thp cell er stress induc calcium chop mapk pathwai
39459851	2024	gastrointestin sequela covid investig post infect complic systemat review
39464351	2024	persist ent manifest individu recov covid systemat review
39465803	2024	detrusor underact urodynam characterist covid patient benign prostat hyperplasia
39468090	2024	effect covid pandem middl ag european
39468707	2024	characterist tcr cdr3 repertoir covid patient sar cov vaccin recipi
39469144	2024	accumul subcutan fat abdomen covid symptom hospit patient prospect observ studi
39469684	2024	cognit outcom psycholog symptom italian cohort post acut covid condit pacc
39471195	2024	evalu predictor persist covid symptom sever covid survivor infect
39472233	2024	patient provid relationship covid cross section survei impact qualiti life
39472619	2024	nirmatrelvir ritonavir reduc covid hospit prevent covid adult outpati
39473828	2024	establish data element exchang standard support covid healthcar research
39474148	2024	3d holo tomograph map covid microclot blood assess diseas sever
39474404	2024	covid gut candidiasi exist relationship
39475394	2024	health care patient covid scope review
39477428	2024	term impact covid increas incid cardiomyopathi joint diseas psychoanxieti disord
39478711	2024	preval predictor fatigu thai women covid infect
39478809	2024	cluster analysi identifi covid subtyp belgian patient
39479090	2024	complic covid unravel late onset myasthenia gravi
39479770	2024	potenti clinic impact cost effect updat covid mrna autumn vaccin unit kingdom
39482218	2025	coronaviru diseas brain molecular neuroimag insight neurolog psychiatr sequela
39482691	2024	cost effect onlin supervis physic mental health rehabilit programm adult post covid condit hospitalis covid regain rct
39482903	2024	prevent cure immunocompromis peopl covid prevent therapi
39483438	2024	predictor ongo attend australian publicli fund specialist obes servic
39485635	2024	factor develop sever resolut post covid condit adult live canada januari august
39485894	2024	impact covid exercis base pulmonari rehabilit lesson learn
39488240	2024	impact combin plant extract covid exploratori random control trial
39488359	2024	post pandem covid persist
39489282	2024	autoantibodi direct interferon alpha nuclear antigen cardiolipin beta glycoprotein induc sar cov covid
39489514	2024	alli health model care covid rehabilit
39489515	2024	live covid impact famili societi couple' view
39489518	2024	acut infect mechan underli post acut sequela covid pasc
39489519	2024	econom burden covid australia nois signal
39489520	2024	factor practition led diagnosi covid observ studi electron practic data victoria south wale australia
39489522	2024	covid victoria
39489523	2024	persist symptom covid australian stratifi random health survei covid
39490027	2024	preval measur post exert malais post acut covid syndrom systemat review meta analysi
39490617	2024	dai cardiopulmonari exercis test covid post exert malais diagnosi
39491570	2024	monitor lung stiff covid patient magnet reson elastographi mre
39493003	2024	distinguish pain profil individu covid
39493249	2024	physic cognit stressor exacerb symptom covid evid trigger research therapeut
39493634	2024	enhanc exercis intervent patient post acut covid syndrom mobil health technologi covidreapp randomis control trial protocol
39495479	2024	biomark mitochondri dysfunct covid patient
39496183	2024	patient surviv covid lower risk covid omicron earlier era
39496842	2024	presenc covid report symptom month patient discharg hospit spanish cross section studi
39497009	2024	covid legaci consequ human dna methylom therapeut perspect
39497076	2024	covid recoveri covid qualiti life impair subject cognit declin median xa0 initi infect
39497519	2024	covid vaccin modifi effect nirmatrelvir ritonavir post acut mortal rehospit retrospect cohort studi
39497750	2024	clinic sar cov infect patient glomerular diseas evalu subsequ risk relaps
39498382	2024	clinic featur predict nomogram fatigu sequela sever patient infect sar cov omicron variant shanghai china
39499692	2024	oxygen supplement cognit function covid
39499751	2024	nasal irrig prevent treatment upper respiratori tract infect sar cov narr review
39500417	2024	acut term effect covid brain mental health narr review
39500905	2024	pulmonari diffus capac individu recov mild moder covid cross section studi
39500939	2024	stroop task practic effect demonstr cognit dysfunct covid myalgic encephalomyel chronic fatigu syndrom
39504683	2024	effect covid vaccin risk develop post covid condit venu studi
39506902	2024	cardiovascular sequela symptomat sar cov infect survivor
39507087	2024	associ physic activ covid symptom intens perceiv health individu covid
39507365	2024	clinic function assess sar cov sequela marin panel studi
39507661	2024	editori cusp silent wave covid pandem tackl emerg syndrom clinic popul
39508631	2024	overview pediatr pulmonari complic covid pandem lesson futur
39510073	2024	enhanc pollen tube perform temperatur contribut thermotoler fruit seed product tomato
39510792	2024	experi physiotherapist adult live covid canada qualit studi
